,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
vender,,1,6,VERB
sabes,4,9,6,VERB
próximo,2,1,6,ADJ
agradable,2,,6,ADJ
clases,,1,6,NOUN
oportuno,,,6,ADJ
hablaban,5,10,6,VERB
castigo,2,4,6,NOUN
sombras,1,34,6,NOUN
persecución,,2,6,NOUN
detenía,,4,6,VERB
grave,1,4,6,ADJ
sigue,6,2,6,VERB
escapar,,12,6,VERB
comida,,12,6,NOUN
siquiera,8,3,6,ADV
profundamente,3,,6,ADV
atrevían,,4,6,VERB
obligado,2,1,6,ADJ
caridad,2,1,6,NOUN
gustaba,6,3,6,VERB
arrodilló,1,,6,VERB
usar,,,6,VERB
hice,3,,6,VERB
religiosos,,1,6,ADJ
salieron,4,14,6,VERB
escucha,1,,6,VERB
iban,1,3,6,VERB AUX
vas,7,2,6,AUX
promesa,,,6,NOUN
inquietud,,,6,NOUN
recurrir,,,6,VERB
dirigió,3,29,6,VERB
calle,1,14,6,PROPN NOUN
adelante,4,4,6,ADV
verdaderos,,,6,ADJ
añadió,,,6,VERB
espacio,3,10,6,NOUN
abrirse,,1,6,VERB
aproximarse,,1,6,VERB
esperar,1,10,6,VERB
acertaba,,,6,VERB
crisis,,2,6,NOUN
creer,7,4,6,VERB
llamar,2,11,6,VERB
moral,,,6,ADJ
puntos,,2,6,NOUN
pierde,,2,6,VERB
sirvió,,11,6,VERB
hacerlo,5,1,6,VERB
llave,1,,6,VERB NOUN
avanzaban,,2,6,VERB
sostener,,,6,VERB
primer,7,11,6,ADJ
inocente,3,2,6,ADJ
creen,2,2,6,VERB
términos,,1,6,NOUN
juicio,,4,6,NOUN
argumento,,,6,NOUN
repetía,,15,6,VERB
río,2,4,6,NOUN
abandonaban,,,6,VERB
acostumbrados,,,6,ADJ
opinión,1,1,6,NOUN
acabó,1,2,6,VERB
producía,3,8,6,VERB
monedas,,3,6,NOUN
prudente,,2,6,ADJ
alma,1,1,6,NOUN PROPN
reparto,,,6,NOUN
hazaña,,,6,NOUN
muerto,2,21,6,ADJ
cinco,2,20,6,NUM
total,2,1,6,ADJ
atreverse,3,7,6,VERB
tareas,,,6,NOUN
curiosidad,1,6,6,NOUN
relación,6,,6,NOUN
rechazar,,,6,VERB
yacía,,,6,VERB
quejas,1,,6,NOUN
movimientos,1,1,6,ADJ NOUN
ovejas,,1,6,PROPN NOUN
podemos,2,7,6,AUX
referirse,,,6,VERB
comprendió,1,,6,VERB
instinto,,1,6,PROPN NOUN
país,2,7,6,NOUN
entregarse,,,6,VERB
víctima,1,2,6,NOUN
intimidad,1,2,6,NOUN
cambiar,1,7,6,VERB
disposición,,1,6,NOUN
gravedad,,2,6,NOUN
hallazgo,,,6,NOUN
cerrado,,5,6,ADJ
siendo,1,1,6,AUX
lloraba,5,6,6,VERB
mostró,1,7,6,VERB
enormes,1,6,6,ADJ
orillas,1,1,6,NOUN
alumno,,,6,NOUN
episcopal,,,6,ADJ
cerrar,2,6,6,VERB
sabían,,2,6,VERB
vigilar,,,6,VERB
importante,3,2,6,ADJ
considerado,,,6,ADJ
vida,4,6,6,NOUN
alcanza,1,1,6,VERB
superior,1,3,6,ADJ
libro,2,6,6,NOUN
resto,1,1,6,NOUN AUX
continuaba,2,6,6,VERB
señalando,,7,6,VERB
dureza,,1,6,NOUN
datos,1,,6,NOUN
encuentra,1,6,6,VERB
necesita,,,6,VERB
dicho,3,22,6,ADJ
lujo,1,,6,NOUN
seres,1,,6,PROPN NOUN
cerradas,,7,6,ADJ
continuaron,,7,6,VERB
ímpetu,,,6,NOUN
peones,,,6,NOUN
asombro,1,6,6,NOUN
alarido,1,1,6,NOUN
ojo,,1,6,NOUN
altura,5,1,6,NOUN PROPN
pláticas,,1,6,ADJ
tanta,1,1,6,DET
paraje,,2,6,NOUN
corre,,1,6,VERB
traer,1,,6,VERB
varios,1,1,6,DET
respiraba,4,,6,VERB
vueltas,4,8,6,NOUN
mucha,3,2,6,DET
cigarro,1,,6,NOUN
puerta,1,1,6,ADJ VERB NOUN
brillo,2,1,6,NOUN ADJ
cumple,,,6,VERB
largas,2,3,6,ADJ
pobres,,8,6,ADJ
perdido,6,3,6,ADJ
basta,,2,6,VERB
disminuir,,,6,VERB
abandonado,4,2,6,ADJ
sol,3,14,6,NOUN
garrafón,,,6,NOUN
tema,1,3,6,NOUN
cuerpo,22,8,6,NOUN
cera,,1,6,NOUN
responsabilidad,,2,6,NOUN
mandatos,,,6,NOUN
permite,1,,6,VERB
exigir,,,6,VERB
español,2,,6,ADJ
