,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
creía,4,5,9,VERB
anda,2,5,3,VERB
pensando,5,5,4,VERB
plata,,5,3,NOUN
atravesar,2,5,4,VERB
trae,,5,1,VERB
señoritas,,5,2,NOUN
tinieblas,,5,2,NOUN
criado,,5,2,ADJ
obedeció,,5,2,VERB
respuesta,1,5,9,VERB NOUN
seguíamos,,5,,VERB
dijimos,,5,1,VERB
escuchaban,1,5,8,VERB
vergüenza,1,5,2,ADJ NOUN
crímenes,,5,1,NOUN
cohetes,,5,1,NOUN ADJ
bocas,,5,5,NOUN
ejército,,5,3,NOUN
extrañas,2,5,2,ADJ
vaso,,5,,NOUN
aparecieron,,5,2,VERB
golosinas,,5,,NOUN
hombro,1,5,1,NOUN ADJ
minas,,5,1,NOUN
regalaba,,5,,VERB
puntillas,,5,,NOUN
quedan,2,5,3,VERB
hacen,2,5,11,VERB
alejaba,,5,1,VERB
gritó,7,5,4,VERB
cubierta,2,5,1,ADJ
favor,,5,5,NOUN
trataron,,5,,VERB
cesar,,5,2,VERB
perfumes,,5,,NOUN
levantarse,,5,4,VERB
volverse,3,5,4,VERB
precisión,,5,1,NOUN
entrada,1,5,3,NOUN
verla,3,5,5,VERB
temía,1,5,11,VERB
saben,3,5,15,VERB
traían,2,5,3,VERB
escapaba,1,5,1,VERB
ardiente,3,5,,ADJ
espaldas,3,5,7,NOUN
sonrisa,13,5,15,NOUN
cosa,15,5,2,NOUN
mirábamos,,5,,VERB
precipitaron,,5,,VERB
tigres,,5,,NOUN
avidez,,5,7,NOUN
acompañaba,,5,2,VERB
nombres,,5,8,NOUN
imitaron,,5,,VERB
acabar,,5,4,VERB
giraba,3,5,1,VERB
jugaba,2,5,1,VERB
zaguán,3,5,4,NOUN
anteriores,,5,,ADJ
dientes,3,5,4,NOUN
guiado,,5,,ADJ
tantas,2,5,16,DET
maldición,,5,,NOUN
ropa,2,5,3,NOUN
mil,2,5,10,NUM
indio,,5,4,NOUN
visitar,1,5,1,VERB
iba,8,5,1,AUX
dormía,1,5,4,VERB
diferente,8,5,4,ADJ
daría,3,5,1,VERB
inesperada,,5,1,ADJ
criados,,5,1,ADJ
llenaba,3,5,7,VERB
incapaz,,5,8,ADJ
baja,1,5,5,ADJ
lleva,1,5,7,VERB
música,3,5,1,NOUN PROPN
cerrados,1,5,3,ADJ
irreal,,5,,ADJ
desprendió,,5,,VERB
milagro,,5,1,NOUN
abiertos,2,5,2,ADJ
punto,2,5,3,NOUN
inclinado,,5,2,ADJ
